year,round,quota,college_name,college_state,course,category,gender,pwd_flag,domicile_state,seat_type,opening_rank,closing_rank,opening_score,closing_score,source_file
2021,2,AIQ,Maulana Azad Medical College,DL,MBBS,OBC,ANY,0,,AIQ,155,207,,,curated_v1
2021,2,AIQ,Maulana Azad Medical College,DL,MBBS,SC,ANY,0,,AIQ,386,601,,,curated_v1
2021,2,AIQ,Maulana Azad Medical College,DL,MBBS,ST,ANY,0,,AIQ,896,1146,,,curated_v1
2022,1,AIQ,Maulana Azad Medical College,DL,MBBS,UR,ANY,0,,AIQ,80,125,,,curated_v1
2022,1,AIQ,Maulana Azad Medical College,DL,MBBS,EWS,ANY,0,,AIQ,97,140,,,curated_v1
2022,1,AIQ,Maulana Azad Medical College,DL,MBBS,OBC,ANY,0,,AIQ,153,181,,,curated_v1
2022,1,AIQ,Maulana Azad Medical College,DL,MBBS,SC,ANY,0,,AIQ,398,525,,,curated_v1
2022,1,AIQ,Maulana Azad Medical College,DL,MBBS,ST,ANY,0,,AIQ,739,1000,,,curated_v1
2022,2,AIQ,Maulana Azad Medical College,DL,MBBS,UR,ANY,0,,AIQ,113,147,,,curated_v1
2022,2,AIQ,Maulana Azad Medical College,DL,MBBS,EWS,ANY,0,,AIQ,133,165,,,curated_v1
2022,2,AIQ,Maulana Azad Medical College,DL,MBBS,OBC,ANY,0,,AIQ,169,213,,,curated_v1
2022,2,AIQ,Maulana Azad Medical College,DL,MBBS,SC,ANY,0,,AIQ,406,619,,,curated_v1
2022,2,AIQ,Maulana Azad Medical College,DL,MBBS,ST,ANY,0,,AIQ,717,1180,,,curated_v1
2023,1,AIQ,Maulana Azad Medical College,DL,MBBS,UR,ANY,0,,AIQ,82,121,,,curated_v1
2023,1,AIQ,Maulana Azad Medical College,DL,MBBS,EWS,ANY,0,,AIQ,90,136,,,curated_v1
2023,1,AIQ,Maulana Azad Medical College,DL,MBBS,OBC,ANY,0,,AIQ,114,176,,,curated_v1
2023,1,AIQ,Maulana Azad Medical College,DL,MBBS,SC,ANY,0,,AIQ,427,512,,,curated_v1
2023,1,AIQ,Maulana Azad Medical College,DL,MBBS,ST,ANY,0,,AIQ,798,975,,,curated_v1
2023,2,AIQ,Maulana Azad Medical College,DL,MBBS,UR,ANY,0,,AIQ,97,143,,,curated_v1
2023,2,AIQ,Maulana Azad Medical College,DL,MBBS,EWS,ANY,0,,AIQ,122,161,,,curated_v1
2023,2,AIQ,Maulana Azad Medical College,DL,MBBS,OBC,ANY,0,,AIQ,145,208,,,curated_v1
2023,2,AIQ,Maulana Azad Medical College,DL,MBBS,SC,ANY,0,,AIQ,500,604,,,curated_v1
2023,2,AIQ,Maulana Azad Medical College,DL,MBBS,ST,ANY,0,,AIQ,822,1151,,,curated_v1
2024,1,AIQ,Maulana Azad Medical College,DL,MBBS,UR,ANY,0,,AIQ,83,126,,,curated_v1
2024,1,AIQ,Maulana Azad Medical College,DL,MBBS,EWS,ANY,0,,AIQ,93,141,,,curated_v1
2024,1,AIQ,Maulana Azad Medical College,DL,MBBS,OBC,ANY,0,,AIQ,134,182,,,curated_v1
2024,1,AIQ,Maulana Azad Medical College,DL,MBBS,SC,ANY,0,,AIQ,352,529,,,curated_v1
2024,1,AIQ,Maulana Azad Medical College,DL,MBBS,ST,ANY,0,,AIQ,752,1008,,,curated_v1
2024,2,AIQ,Maulana Azad Medical College,DL,MBBS,UR,ANY,0,,AIQ,122,148,,,curated_v1
2024,2,AIQ,Maulana Azad Medical College,DL,MBBS,EWS,ANY,0,,AIQ,116,166,,,curated_v1
2024,2,AIQ,Maulana Azad Medical College,DL,MBBS,OBC,ANY,0,,AIQ,140,215,,,curated_v1
2024,2,AIQ,Maulana Azad Medical College,DL,MBBS,SC,ANY,0,,AIQ,530,624,,,curated_v1
2024,2,AIQ,Maulana Azad Medical College,DL,MBBS,ST,ANY,0,,AIQ,865,1190,,,curated_v1
2021,1,STATE,Maulana Azad Medical College,DL,MBBS,UR,ANY,0,DL,SQ,149,187,,,curated_v1
2021,1,STATE,Maulana Azad Medical College,DL,MBBS,EWS,ANY,0,DL,SQ,147,209,,,curated_v1
2021,1,STATE,Maulana Azad Medical College,DL,MBBS,OBC,ANY,0,DL,SQ,166,271,,,curated_v1
2021,1,STATE,Maulana Azad Medical College,DL,MBBS,SC,ANY,0,DL,SQ,546,786,,,curated_v1
2021,1,STATE,Maulana Azad Medical College,DL,MBBS,ST,ANY,0,DL,SQ,1271,1498,,,curated_v1
2021,2,STATE,Maulana Azad Medical College,DL,MBBS,UR,ANY,0,DL,SQ,161,220,,,curated_v1
2021,2,STATE,Maulana Azad Medical College,DL,MBBS,EWS,ANY,0,DL,SQ,208,247,,,curated_v1
2021,2,STATE,Maulana Azad Medical College,DL,MBBS,OBC,ANY,0,DL,SQ,260,320,,,curated_v1
2021,2,STATE,Maulana Azad Medical College,DL,MBBS,SC,ANY,0,DL,SQ,559,928,,,curated_v1
2021,2,STATE,Maulana Azad Medical College,DL,MBBS,ST,ANY,0,DL,SQ,1378,1767,,,curated_v1
2022,1,STATE,Maulana Azad Medical College,DL,MBBS,UR,ANY,0,DL,SQ,142,185,,,curated_v1
2022,1,STATE,Maulana Azad Medical College,DL,MBBS,EWS,ANY,0,DL,SQ,151,207,,,curated_v1
2022,1,STATE,Maulana Azad Medical College,DL,MBBS,OBC,ANY,0,DL,SQ,179,269,,,curated_v1
2022,1,STATE,Maulana Azad Medical College,DL,MBBS,SC,ANY,0,DL,SQ,592,779,,,curated_v1
2022,1,STATE,Maulana Azad Medical College,DL,MBBS,ST,ANY,0,DL,SQ,932,1485,,,curated_v1
2022,2,STATE,Maulana Azad Medical College,DL,MBBS,UR,ANY,0,DL,SQ,155,219,,,curated_v1
2022,2,STATE,Maulana Azad Medical College,DL,MBBS,EWS,ANY,0,DL,SQ,174,245,,,curated_v1
2022,2,STATE,Maulana Azad Medical College,DL,MBBS,OBC,ANY,0,DL,SQ,265,317,,,curated_v1
2022,2,STATE,Maulana Azad Medical College,DL,MBBS,SC,ANY,0,DL,SQ,753,920,,,curated_v1
2022,2,STATE,Maulana Azad Medical College,DL,MBBS,ST,ANY,0,DL,SQ,1166,1752,,,curated_v1
2023,1,STATE,Maulana Azad Medical College,DL,MBBS,UR,ANY,0,DL,SQ,135,187,,,curated_v1
2023,1,STATE,Maulana Azad Medical College,DL,MBBS,EWS,ANY,0,DL,SQ,135,210,,,curated_v1
2023,1,STATE,Maulana Azad Medical College,DL,MBBS,OBC,ANY,0,DL,SQ,225,272,,,curated_v1
2023,1,STATE,Maulana Azad Medical College,DL,MBBS,SC,ANY,0,DL,SQ,645,789,,,curated_v1
2023,1,STATE,Maulana Azad Medical College,DL,MBBS,ST,ANY,0,DL,SQ,1013,1503,,,curated_v1
2023,2,STATE,Maulana Azad Medical College,DL,MBBS,UR,ANY,0,DL,SQ,167,221,,,curated_v1
2023,2,STATE,Maulana Azad Medical College,DL,MBBS,EWS,ANY,0,DL,SQ,186,248,,,curated_v1
2023,2,STATE,Maulana Azad Medical College,DL,MBBS,OBC,ANY,0,DL,SQ,204,321,,,curated_v1
2023,2,STATE,Maulana Azad Medical College,DL,MBBS,SC,ANY,0,DL,SQ,736,931,,,curated_v1
2023,2,STATE,Maulana Azad Medical College,DL,MBBS,ST,ANY,0,DL,SQ,1303,1774,,,curated_v1
2024,1,STATE,Maulana Azad Medical College,DL,MBBS,UR,ANY,0,DL,SQ,163,206,,,curated_v1
2024,1,STATE,Maulana Azad Medical College,DL,MBBS,EWS,ANY,0,DL,SQ,169,231,,,curated_v1
2024,1,STATE,Maulana Azad Medical College,DL,MBBS,OBC,ANY,0,DL,SQ,179,299,,,curated_v1
2024,1,STATE,Maulana Azad Medical College,DL,MBBS,SC,ANY,0,DL,SQ,590,867,,,curated_v1
2024,1,STATE,Maulana Azad Medical College,DL,MBBS,ST,ANY,0,DL,SQ,999,1652,,,curated_v1
2024,2,STATE,Maulana Azad Medical College,DL,MBBS,UR,ANY,0,DL,SQ,202,243,,,curated_v1
2024,2,STATE,Maulana Azad Medical College,DL,MBBS,EWS,ANY,0,DL,SQ,223,273,,,curated_v1
2024,2,STATE,Maulana Azad Medical College,DL,MBBS,OBC,ANY,0,DL,SQ,285,353,,,curated_v1
2024,2,STATE,Maulana Azad Medical College,DL,MBBS,SC,ANY,0,DL,SQ,692,1023,,,curated_v1
2024,2,STATE,Maulana Azad Medical College,DL,MBBS,ST,ANY,0,DL,SQ,1198,1950,,,curated_v1
2021,1,AIQ,Lady Hardinge Medical College,DL,MBBS,UR,ANY,0,,AIQ,432,700,,,curated_v1
2021,1,AIQ,Lady Hardinge Medical College,DL,MBBS,EWS,ANY,0,,AIQ,619,784,,,curated_v1
2021,1,AIQ,Lady Hardinge Medical College,DL,MBBS,OBC,ANY,0,,AIQ,804,1016,,,curated_v1
2021,1,AIQ,Lady Hardinge Medical College,DL,MBBS,SC,ANY,0,,AIQ,1860,2943,,,curated_v1
2021,1,AIQ,Lady Hardinge Medical College,DL,MBBS,ST,ANY,0,,AIQ,4028,5605,,,curated_v1
2021,2,AIQ,Lady Hardinge Medical College,DL,MBBS,UR,ANY,0,,AIQ,609,826,,,curated_v1
2021,2,AIQ,Lady Hardinge Medical College,DL,MBBS,EWS,ANY,0,,AIQ,616,926,,,curated_v1
2021,2,AIQ,Lady Hardinge Medical College,DL,MBBS,OBC,ANY,0,,AIQ,980,1198,,,curated_v1
2021,2,AIQ,Lady Hardinge Medical College,DL,MBBS,SC,ANY,0,,AIQ,2450,3472,,,curated_v1
2021,2,AIQ,Lady Hardinge Medical College,DL,MBBS,ST,ANY,0,,AIQ,4318,6614,,,curated_v1
2022,1,AIQ,Lady Hardinge Medical College,DL,MBBS,UR,ANY,0,,AIQ,520,708,,,curated_v1
2022,1,AIQ,Lady Hardinge Medical College,DL,MBBS,EWS,ANY,0,,AIQ,620,793,,,curated_v1
2022,1,AIQ,Lady Hardinge Medical College,DL,MBBS,OBC,ANY,0,,AIQ,667,1027,,,curated_v1
2022,1,AIQ,Lady Hardinge Medical College,DL,MBBS,SC,ANY,0,,AIQ,2017,2976,,,curated_v1
2022,1,AIQ,Lady Hardinge Medical College,DL,MBBS,ST,ANY,0,,AIQ,4812,5670,,,curated_v1
2022,2,AIQ,Lady Hardinge Medical College,DL,MBBS,UR,ANY,0,,AIQ,637,836,,,curated_v1
2022,2,AIQ,Lady Hardinge Medical College,DL,MBBS,EWS,ANY,0,,AIQ,664,936,,,curated_v1
2022,2,AIQ,Lady Hardinge Medical College,DL,MBBS,OBC,ANY,0,,AIQ,884,1212,,,curated_v1
2022,2,AIQ,Lady Hardinge Medical College,DL,MBBS,SC,ANY,0,,AIQ,2213,3512,,,curated_v1
2022,2,AIQ,Lady Hardinge Medical College,DL,MBBS,ST,ANY,0,,AIQ,4390,6691,,,curated_v1
2023,1,AIQ,Lady Hardinge Medical College,DL,MBBS,UR,ANY,0,,AIQ,416,608,,,curated_v1
2023,1,AIQ,Lady Hardinge Medical College,DL,MBBS,EWS,ANY,0,,AIQ,508,680,,,curated_v1
2023,1,AIQ,Lady Hardinge Medical College,DL,MBBS,OBC,ANY,0,,AIQ,579,881,,,curated_v1
2023,1,AIQ,Lady Hardinge Medical College,DL,MBBS,SC,ANY,0,,AIQ,1672,2553,,,curated_v1
2023,1,AIQ,Lady Hardinge Medical College,DL,MBBS,ST,ANY,0,,AIQ,3004,4864,,,curated_v1
2023,2,AIQ,Lady Hardinge Medical College,DL,MBBS,UR,ANY,0,,AIQ,543,717,,,curated_v1
2023,2,AIQ,Lady Hardinge Medical College,DL,MBBS,EWS,ANY,0,,AIQ,527,803,,,curated_v1
2023,2,AIQ,Lady Hardinge Medical College,DL,MBBS,OBC,ANY,0,,AIQ,859,1040,,,curated_v1
2023,2,AIQ,Lady Hardinge Medical College,DL,MBBS,SC,ANY,0,,AIQ,2455,3013,,,curated_v1
2023,2,AIQ,Lady Hardinge Medical College,DL,MBBS,ST,ANY,0,,AIQ,3545,5739,,,curated_v1
2024,1,AIQ,Lady Hardinge Medical College,DL,MBBS,UR,ANY,0,,AIQ,431,654,,,curated_v1
2024,1,AIQ,Lady Hardinge Medical College,DL,MBBS,EWS,ANY,0,,AIQ,562,733,,,curated_v1
2024,1,AIQ,Lady Hardinge Medical College,DL,MBBS,OBC,ANY,0,,AIQ,620,949,,,curated_v1
2024,1,AIQ,Lady Hardinge Medical College,DL,MBBS,SC,ANY,0,,AIQ,1740,2750,,,curated_v1
2024,1,AIQ,Lady Hardinge Medical College,DL,MBBS,ST,ANY,0,,AIQ,4367,5238,,,curated_v1
2024,2,AIQ,Lady Hardinge Medical College,DL,MBBS,UR,ANY,0,,AIQ,573,772,,,curated_v1
2024,2,AIQ,Lady Hardinge Medical College,DL,MBBS,EWS,ANY,0,,AIQ,621,865,,,curated_v1
2024,2,AIQ,Lady Hardinge Medical College,DL,MBBS,OBC,ANY,0,,AIQ,891,1120,,,curated_v1
2024,2,AIQ,Lady Hardinge Medical College,DL,MBBS,SC,ANY,0,,AIQ,2602,3245,,,curated_v1
2024,2,AIQ,Lady Hardinge Medical College,DL,MBBS,ST,ANY,0,,AIQ,4002,6181,,,curated_v1
2021,1,STATE,Lady Hardinge Medical College,DL,MBBS,UR,ANY,0,DL,SQ,696,890,,,curated_v1
2021,1,STATE,Lady Hardinge Medical College,DL,MBBS,EWS,ANY,0,DL,SQ,766,997,,,curated_v1
2021,1,STATE,Lady Hardinge Medical College,DL,MBBS,OBC,ANY,0,DL,SQ,1092,1291,,,curated_v1
2021,1,STATE,Lady Hardinge Medical College,DL,MBBS,SC,ANY,0,DL,SQ,2336,3740,,,curated_v1
2021,1,STATE,Lady Hardinge Medical College,DL,MBBS,ST,ANY,0,DL,SQ,4991,7124,,,curated_v1
2021,2,STATE,Lady Hardinge Medical College,DL,MBBS,UR,ANY,0,DL,SQ,719,1050,,,curated_v1
2021,2,STATE,Lady Hardinge Medical College,DL,MBBS,EWS,ANY,0,DL,SQ,958,1176,,,curated_v1
2021,2,STATE,Lady Hardinge Medical College,DL,MBBS,OBC,ANY,0,DL,SQ,1008,1523,,,curated_v1
2021,2,STATE,Lady Hardinge Medical College,DL,MBBS,SC,ANY,0,DL,SQ,2857,4413,,,curated_v1
2021,2,STATE,Lady Hardinge Medical College,DL,MBBS,ST,ANY,0,DL,SQ,5987,8407,,,curated_v1
2022,1,STATE,Lady Hardinge Medical College,DL,MBBS,UR,ANY,0,DL,SQ,668,947,,,curated_v1
2022,1,STATE,Lady Hardinge Medical College,DL,MBBS,EWS,ANY,0,DL,SQ,710,1061,,,curated_v1
2022,1,STATE,Lady Hardinge Medical College,DL,MBBS,OBC,ANY,0,DL,SQ,910,1374,,,curated_v1
2022,1,STATE,Lady Hardinge Medical College,DL,MBBS,SC,ANY,0,DL,SQ,3306,3980,,,curated_v1
2022,1,STATE,Lady Hardinge Medical College,DL,MBBS,ST,ANY,0,DL,SQ,5388,7581,,,curated_v1
2022,2,STATE,Lady Hardinge Medical College,DL,MBBS,UR,ANY,0,DL,SQ,911,1118,,,curated_v1
2022,2,STATE,Lady Hardinge Medical College,DL,MBBS,EWS,ANY,0,DL,SQ,923,1252,,,curated_v1
2022,2,STATE,Lady Hardinge Medical College,DL,MBBS,OBC,ANY,0,DL,SQ,993,1621,,,curated_v1
2022,2,STATE,Lady Hardinge Medical College,DL,MBBS,SC,ANY,0,DL,SQ,3990,4696,,,curated_v1
2022,2,STATE,Lady Hardinge Medical College,DL,MBBS,ST,ANY,0,DL,SQ,7237,8946,,,curated_v1
2023,1,STATE,Lady Hardinge Medical College,DL,MBBS,UR,ANY,0,DL,SQ,796,946,,,curated_v1
2023,1,STATE,Lady Hardinge Medical College,DL,MBBS,EWS,ANY,0,DL,SQ,881,1060,,,curated_v1
2023,1,STATE,Lady Hardinge Medical College,DL,MBBS,OBC,ANY,0,DL,SQ,1114,1372,,,curated_v1
2023,1,STATE,Lady Hardinge Medical College,DL,MBBS,SC,ANY,0,DL,SQ,2550,3975,,,curated_v1
2023,1,STATE,Lady Hardinge Medical College,DL,MBBS,ST,ANY,0,DL,SQ,5461,7571,,,curated_v1
2023,2,STATE,Lady Hardinge Medical College,DL,MBBS,UR,ANY,0,DL,SQ,729,1116,,,curated_v1
2023,2,STATE,Lady Hardinge Medical College,DL,MBBS,EWS,ANY,0,DL,SQ,875,1250,,,curated_v1
2023,2,STATE,Lady Hardinge Medical College,DL,MBBS,OBC,ANY,0,DL,SQ,995,1619,,,curated_v1
2023,2,STATE,Lady Hardinge Medical College,DL,MBBS,SC,ANY,0,DL,SQ,3258,4690,,,curated_v1
2023,2,STATE,Lady Hardinge Medical College,DL,MBBS,ST,ANY,0,DL,SQ,7561,8934,,,curated_v1
2024,1,STATE,Lady Hardinge Medical College,DL,MBBS,UR,ANY,0,DL,SQ,634,953,,,curated_v1
2024,1,STATE,Lady Hardinge Medical College,DL,MBBS,EWS,ANY,0,DL,SQ,850,1068,,,curated_v1
2024,1,STATE,Lady Hardinge Medical College,DL,MBBS,OBC,ANY,0,DL,SQ,987,1383,,,curated_v1
2024,1,STATE,Lady Hardinge Medical College,DL,MBBS,SC,ANY,0,DL,SQ,2827,4006,,,curated_v1
2024,1,STATE,Lady Hardinge Medical College,DL,MBBS,ST,ANY,0,DL,SQ,6404,7630,,,curated_v1
2024,2,STATE,Lady Hardinge Medical College,DL,MBBS,UR,ANY,0,DL,SQ,954,1125,,,curated_v1
2024,2,STATE,Lady Hardinge Medical College,DL,MBBS,EWS,ANY,0,DL,SQ,931,1260,,,curated_v1
2024,2,STATE,Lady Hardinge Medical College,DL,MBBS,OBC,ANY,0,DL,SQ,1272,1632,,,curated_v1
2024,2,STATE,Lady Hardinge Medical College,DL,MBBS,SC,ANY,0,DL,SQ,3019,4727,,,curated_v1
2024,2,STATE,Lady Hardinge Medical College,DL,MBBS,ST,ANY,0,DL,SQ,6070,9004,,,curated_v1
2021,1,AIQ,Vardhman Mahavir Medical College,DL,MBBS,UR,ANY,0,,AIQ,215,350,,,curated_v1
2021,1,AIQ,Vardhman Mahavir Medical College,DL,MBBS,EWS,ANY,0,,AIQ,292,392,,,curated_v1
2021,1,AIQ,Vardhman Mahavir Medical College,DL,MBBS,OBC,ANY,0,,AIQ,367,507,,,curated_v1
2021,1,AIQ,Vardhman Mahavir Medical College,DL,MBBS,SC,ANY,0,,AIQ,1195,1470,,,curated_v1
2021,1,AIQ,Vardhman Mahavir Medical College,DL,MBBS,ST,ANY,0,,AIQ,1790,2801,,,curated_v1
2021,2,AIQ,Vardhman Mahavir Medical College,DL,MBBS,UR,ANY,0,,AIQ,347,413,,,curated_v1
2021,2,AIQ,Vardhman Mahavir Medical College,DL,MBBS,EWS,ANY,0,,AIQ,286,462,,,curated_v1
2021,2,AIQ,Vardhman Mahavir Medical College,DL,MBBS,OBC,ANY,0,,AIQ,387,599,,,curated_v1
2021,2,AIQ,Vardhman Mahavir Medical College,DL,MBBS,SC,ANY,0,,AIQ,1299,1735,,,curated_v1
2021,2,AIQ,Vardhman Mahavir Medical College,DL,MBBS,ST,ANY,0,,AIQ,2540,3305,,,curated_v1
2022,1,AIQ,Vardhman Mahavir Medical College,DL,MBBS,UR,ANY,0,,AIQ,215,327,,,curated_v1
2022,1,AIQ,Vardhman Mahavir Medical College,DL,MBBS,EWS,ANY,0,,AIQ,231,367,,,curated_v1
2022,1,AIQ,Vardhman Mahavir Medical College,DL,MBBS,OBC,ANY,0,,AIQ,390,475,,,curated_v1
2022,1,AIQ,Vardhman Mahavir Medical College,DL,MBBS,SC,ANY,0,,AIQ,910,1376,,,curated_v1
2022,1,AIQ,Vardhman Mahavir Medical College,DL,MBBS,ST,ANY,0,,AIQ,1962,2622,,,curated_v1
2022,2,AIQ,Vardhman Mahavir Medical College,DL,MBBS,UR,ANY,0,,AIQ,291,386,,,curated_v1
2022,2,AIQ,Vardhman Mahavir Medical College,DL,MBBS,EWS,ANY,0,,AIQ,305,433,,,curated_v1
2022,2,AIQ,Vardhman Mahavir Medical College,DL,MBBS,OBC,ANY,0,,AIQ,417,560,,,curated_v1
2022,2,AIQ,Vardhman Mahavir Medical College,DL,MBBS,SC,ANY,0,,AIQ,1186,1624,,,curated_v1
2022,2,AIQ,Vardhman Mahavir Medical College,DL,MBBS,ST,ANY,0,,AIQ,2579,3094,,,curated_v1
2023,1,AIQ,Vardhman Mahavir Medical College,DL,MBBS,UR,ANY,0,,AIQ,211,325,,,curated_v1
2023,1,AIQ,Vardhman Mahavir Medical College,DL,MBBS,EWS,ANY,0,,AIQ,283,364,,,curated_v1
2023,1,AIQ,Vardhman Mahavir Medical College,DL,MBBS,OBC,ANY,0,,AIQ,311,472,,,curated_v1
2023,1,AIQ,Vardhman Mahavir Medical College,DL,MBBS,SC,ANY,0,,AIQ,955,1367,,,curated_v1
2023,1,AIQ,Vardhman Mahavir Medical College,DL,MBBS,ST,ANY,0,,AIQ,2000,2605,,,curated_v1
2023,2,AIQ,Vardhman Mahavir Medical College,DL,MBBS,UR,ANY,0,,AIQ,259,384,,,curated_v1
2023,2,AIQ,Vardhman Mahavir Medical College,DL,MBBS,EWS,ANY,0,,AIQ,291,430,,,curated_v1
2023,2,AIQ,Vardhman Mahavir Medical College,DL,MBBS,OBC,ANY,0,,AIQ,438,557,,,curated_v1
2023,2,AIQ,Vardhman Mahavir Medical College,DL,MBBS,SC,ANY,0,,AIQ,997,1613,,,curated_v1
2023,2,AIQ,Vardhman Mahavir Medical College,DL,MBBS,ST,ANY,0,,AIQ,2195,3073,,,curated_v1
2024,1,AIQ,Vardhman Mahavir Medical College,DL,MBBS,UR,ANY,0,,AIQ,286,337,,,curated_v1
2024,1,AIQ,Vardhman Mahavir Medical College,DL,MBBS,EWS,ANY,0,,AIQ,320,377,,,curated_v1
2024,1,AIQ,Vardhman Mahavir Medical College,DL,MBBS,OBC,ANY,0,,AIQ,302,489,,,curated_v1
2024,1,AIQ,Vardhman Mahavir Medical College,DL,MBBS,SC,ANY,0,,AIQ,925,1417,,,curated_v1
2024,1,AIQ,Vardhman Mahavir Medical College,DL,MBBS,ST,ANY,0,,AIQ,1798,2699,,,curated_v1
2024,2,AIQ,Vardhman Mahavir Medical College,DL,MBBS,UR,ANY,0,,AIQ,331,398,,,curated_v1
